Abetz, Otto, 106, 116, 120-124, 127, 130, 132, 137, 142-144, 147, 149, 152, 193, 200, 212­, 213, 237, 240, 245, 259, 267, 272, 279, 307 
Achenbach, Ernst, 147 
Ajalbert, Jean, 130-131 
Alfassa, Paul, 54 
Apollinaire, Guillaume, 29 
Arlant, André, 64 
Arletty, 264, 273 
Auphand, Gabriel, 234 
Auriol, Vincent, 284 
Bainville, Jacques, 30, 105-106, 113, 143 
Ballot, Marcel, 32 
Barbey d’Aurevilly, Jules, 53 
Barbusse, Henri, 84 
Barrès, Maurice, 26-27, 32, 113 
Barthélemy, Joseph, 28, 44, 146, 234-235, 242, 310 
Baudrillart, Alfred, 20, 86, 127, 137-139 
Béhague, Martine de, 55 
Bellessort, André, 80, 97, 105, 127, 137-138 
Benda, Julien, 308-312 
Benielli, Pauline, 17-20, 27, 38, 40, 51, 56, 114, 271, 273, 276 
Benjamin, René, 113 
Benoist-Méchin, Jacques, 199­200, 260, 263, 284, 289, 299 
Benoit, Pierre, 86, 105, 128, 287­288 
Bérard, Léon, 97 
Béraud, Henri, 84, 287 
Béraud, Jean, 43 
Bergerat, Émile, 56-57 
Bergery, Gaston, 227 
Bergson, Henri, 141, 145 
Berl, Emmanuel, 265 
Bernhardt, Sarah, 52 
Bernstein, Henry, 61, 84 
Besnard, Lucien, 84 
Bibesco, Marthe, 52, 84 
Bichelonne, Jean, 238, 246-247 
Billy, André, 42, 44 
Blanchet, procureur général, 271, 282-283 
Blum, Léon, 84, 154 
Blum, René, 84 
Bœgner, Henri, 224 
Bois, Jules, 33 
Bonnard, Ernest, 17-18, 20, 23, 38, 40, 87, 278, 304 
Bonnard, Eugène, 18-20, 23, 39, 51, 271, 278 
Bordeaux, Henry, 79, 84, 113 
Borghese, Alys, 52 
Bos, Charles du, 53-54 
Boulenger, Jacques, 84, 127, 129 
Boulenger, Marcel, 44, 84 
Bourget, Paul, 84, 86 
Bousquet, Jacques, 145, 149, 192, 195, 202, 206, 212, 226-227, 236, 260 
Bouts, Dirk, 250 
Brasillach, Robert, 87, 104-106, 129-130, 132-134, 178, 193, 256, 263, 265 
Bréchot, Noémie, 220 
Breker, Arno, 133, 199-201, 208, 240, 253, 276 
Bremer, Karl Heinz, 132 
Bridoux, Eugène, 237 
Brinon, Fernand de, 121, 148, 205, 213, 232, 235, 237-238, 258, 272, 284 
Broglie, Jean de, 288-289, 297 
Broglie, Maurice de, 138-140 
Bucard, Marcel, 122, 265 
Bunyes, docteur, 251, 253-254 
Burrin, Philippe, 136 
Caillaux, Henriette, 67 
Calmette, Gaston, 50, 67, 74 
Carco, Francis, 84 
Carcopino, Jérôme, 9, 11, 27, 32, 37-39, 51, 68, 143-145, 147-148, 192, 195, 197, 212, 244, 311 
Cassou, Jean, 280 
Castellane, Boni de, 84 
Cathala, Pierre, 237, 244 
Cazes, Jean, 24-25
Céline, Louis-Ferdinand, 13, 18, 130, 136, 193, 245, 272-275, 299, 302, 304
Chack, Paul, 106, 131, 141, 195
Chardonne, Jacques, 44, 128, 132-133, 279, 286, 298
Châteaubriant, Alphonse de, 119
Chaumeix, André, 84, 86
Chérau, Gaston, 84
Chevalier, Jacques, 141-143, 224, 244
Chevrillon, André, 140
Churchill, Winston, 120, 156
Cioran, Emil, 13
Claudel, Paul, 84, 86
Clemenceau, Georges, 264
Clifford Barney, Natalie, 43
Cocteau, Jean, 59-60, 87, 200, 261, 302
Cointet, Jean-Paul, 305
Coppée, François, 23, 33, 37, 48-49
Cortot, Alfred, 84
Couissin, Pierre, 214, 216, 227
Croisset, Francis de, 84, 86 
D’Annunzio, Gabriele, 85, 111
Darlan, François, 123, 137, 142­144, 147, 163, 275
Darnand, Joseph, 123-124, 230­232, 237, 275, 284, 291, 293, 306
Darquier de Pellepoix, Louis, 103, 244-245, 278
Daudet, Léon, 43, 94, 113
Déat, Mme, 194
Déat, Marcel, 10, 120-124, 130­131, 194, 205, 213, 224, 237­238, 247, 275-276, 306 
Decaudin, Michel, 34
Degrelle, Léon, 299
Delille, abbé, 48
Derain, André, 200
Derennes, Charles, 33
Déroulède, Paul, 26
Desforges, inspecteur général, 202
Despax, Émile, 29, 34, 68
Despiau, Charles, 200
Destouches, Lucette, 273
Divoire, Fernand, 59-60
Donnay, Maurice, 84, 138
Dorchain, Auguste, 43, 59-60
Dorgelès, Roland, 84, 141
Dorgères, Henri, 103
Doriot, Jacques, 10, 89, 100, 106, 110, 121-123, 129-131, 134, 181, 213, 228-229, 234, 275, 290, 306-307
Doumic, René, 79
Dreyfus, Alfred, 23
Drieu la Rochelle, Pierre, 106, 128, 130, 132-134, 258, 302
Drumont, Édouard, 114
Duhamel, Georges, 138, 140­141, 287
Dunoyer de Segonzac, André, 84, 200
Dunoyer de Segonzac, Pierre, 145, 221
Dupuy, Ernest, 27, 32-33, 46
Durand, Yves, 250
Durry, Victor, 219
Duvernois, Henri, 84 
Émery, Léon, 224
Epting, Karl, 132, 240
Étienne, Jean, 227 
Fabre, Émile, 84 
Faguet, Émile, 30 
Faivre, Abel, 84 
Falize, André, 84, 86 
